stress_case,model_label,lolh_hours,lolp_percent,lole_days,eue_mwh,neue_ppm,cvar_eue_mwh,n_shortage_events,mean_shortage_duration_h,p95_shortage_duration_h,max_shortfall_mw,mean_shortfall_when_shedding_mw,lolh_ci95_halfwidth_h,lolh_ci95_rel_halfwidth,eue_ci95_halfwidth_mwh,eue_ci95_rel_halfwidth,runtime_s
storage_p05_d4,M2,26.9,0.3070776255707763,8.2,8770.141615981627,194.57384951556836,23530.20309817418,9.7,2.7731958762886597,7.349999999999994,821.5399209665372,326.02756936734676,6.533006658499591,0.24286270105946436,3197.570138121689,0.36459732101643955,11.6
storage_p05_d4,M3,27.4,0.3127853881278539,8.2,8770.141615981629,194.57384951556838,23530.203098174185,8.7,3.1494252873563218,7.0,758.1178501865375,320.0781611672127,5.999817821795661,0.21897145335020662,3197.5701381216895,0.3645973210164395,188.7
storage_p10_d8,M1c_current,2.45,0.02796803652968037,1.1,359.2778486399989,7.970917359893945,1842.5206741999964,1.1,2.227272727272727,4.0,104.07310839999977,146.64401985306077,1.64892175295507,0.6730292869204366,279.18815742491046,0.7770814662850551,2.2
storage_p10_d8,M1c_VREOnly,75.7,0.8641552511415524,19.25,26314.552589849347,583.813126387443,47234.71644888933,20.55,3.683698296836983,8.0,996.6650674799994,347.61628256075755,9.669252014831125,0.1277312023095261,5036.057501551674,0.19137918018390698,1.5
storage_p10_d8,M2,2.45,0.02796803652968037,1.1,359.2778486399989,7.970917359893945,1842.5206741999964,1.1,2.227272727272727,4.0,104.07310839999977,146.64401985306077,1.64892175295507,0.6730292869204366,279.1881574249104,0.7770814662850549,7.9
storage_p10_d8,M3,2.45,0.02796803652968037,1.1,359.2778486399989,7.970917359893945,1842.5206741999964,1.1,2.227272727272727,4.0,104.07310839999977,146.64401985306077,1.64892175295507,0.6730292869204366,279.1881574249104,0.7770814662850549,186.0
cycling_cost_high,M1c_current,5.95,0.06792237442922375,1.75,2479.1695846344096,55.00271156456548,9782.932122726887,2.0,2.975,6.049999999999997,461.06735212653746,416.6671570814134,3.253323450517057,0.5467770505070684,1499.9955123041589,0.6050394945149973,1.4
cycling_cost_high,M1c_VREOnly,82.8,0.9452054794520548,21.2,28179.663953816653,625.1923781433147,49099.827812856645,22.55,3.671840354767184,8.0,1000.4147142799991,340.33410572242343,9.321638708431383,0.11258017763806019,5036.057501551674,0.17871247541507998,2.5
cycling_cost_high,M2,5.75,0.0656392694063927,1.75,2479.1695846344096,55.00271156456548,9782.932122726885,2.9,1.9827586206896552,5.0,534.7469016465374,431.159927762506,3.1632027407277215,0.5501222157787342,1499.9955123041589,0.6050394945149973,7.6
cycling_cost_high,M3,5.95,0.06792237442922375,1.75,2479.16958463441,55.002711564565494,9782.932122726885,2.0,2.975,6.049999999999997,461.06735212653757,416.66715708141334,3.253323450517057,0.5467770505070684,1499.9955123041589,0.6050394945149972,183.4
