case,model,scenario_id,lolh,eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,runtime_s
VRE120_wind_hvy,M3-NoStorage,14,26.0,5580.084951999989,636.720752799999,11,2.3636363636363638,6.831999778747559
VRE120_wind_hvy,M3-NoStorage,15,62.0,24003.500644399966,1462.2009067999988,20,3.1,6.267999887466431
VRE120_wind_hvy,M3-NoStorage,16,50.0,10673.109353599977,721.5298223999998,20,2.5,7.488999843597412
VRE120_wind_hvy,M3-NoStorage,17,28.0,5699.138032799991,538.2009067999988,11,2.5454545454545454,6.940000057220459
VRE120_wind_hvy,M3-NoStorage,18,50.0,17867.81303159998,1142.3098683999997,17,2.9411764705882355,6.723999977111816
VRE120_wind_hvy,M3-NoStorage,19,51.0,14673.605152799977,810.6539771999996,18,2.8333333333333335,6.900000095367432
VRE120_wind_hvy,M3-NoStorage,20,57.0,15740.25158359998,618.0773864000012,23,2.4782608695652173,6.621000051498413
VRE120_wind_hvy,M3-WithStorage,1,2.0,514.1403548653742,265.62392566537517,1,2.0,8.105999946594238
VRE120_wind_hvy,M3-WithStorage,2,2.0,537.1403548653741,273.51642919999904,1,2.0,7.634999990463257
VRE120_wind_hvy,M3-WithStorage,3,0.0,0.0,0.0,0,0.0,7.9659998416900635
VRE120_wind_hvy,M3-WithStorage,4,7.0,1722.0067020653742,573.3940592653779,2,3.5,8.416999816894531
VRE120_wind_hvy,M3-WithStorage,5,11.0,2792.6310109961328,970.9195783999985,5,2.2,7.615999937057495
VRE120_wind_hvy,M3-WithStorage,6,9.0,1513.240479730754,339.3098683999997,2,4.5,8.21399998664856
VRE120_wind_hvy,M3-WithStorage,7,0.0,0.0,0.0,0,0.0,7.692999839782715
VRE120_wind_hvy,M3-WithStorage,8,0.0,0.0,0.0,0,0.0,8.585999965667725
VRE120_wind_hvy,M3-WithStorage,9,0.0,0.0,0.0,0,0.0,7.977999925613403
VRE120_wind_hvy,M3-WithStorage,10,0.0,0.0,0.0,0,0.0,8.437000036239624
VRE120_wind_hvy,M3-WithStorage,11,3.0,814.802470465374,457.0851344653761,2,1.5,7.993000030517578
VRE120_wind_hvy,M3-WithStorage,12,0.0,0.0,0.0,0,0.0,8.852999925613403
VRE120_wind_hvy,M3-WithStorage,13,0.0,0.0,0.0,0,0.0,8.025000095367432
VRE120_wind_hvy,M3-WithStorage,14,0.0,0.0,0.0,0,0.0,8.56000018119812
VRE120_wind_hvy,M3-WithStorage,15,8.0,4264.143930530749,1232.9195783999985,2,4.0,7.604000091552734
VRE120_wind_hvy,M3-WithStorage,16,0.0,0.0,0.0,0,0.0,8.108000040054321
VRE120_wind_hvy,M3-WithStorage,17,0.0,0.0,0.0,0,0.0,7.722999811172485
VRE120_wind_hvy,M3-WithStorage,18,3.0,806.632002465376,397.8249452653763,2,1.5,8.10700011253357
VRE120_wind_hvy,M3-WithStorage,19,0.0,0.0,0.0,0,0.0,7.539000034332275
VRE120_wind_hvy,M3-WithStorage,20,0.0,0.0,0.0,0,0.0,8.300999879837036
