"case_folder","mode","lolh","lolp_percent","lole_days","eue_mwh","ann_tol_mwh","eue_ann_tol_error_pct","cvar_eue_mwh","max_shortfall_mw","n_shortage_events","mean_shortage_duration_h","p95_shortage_duration_h","runtime_s"
"RAChronoOps_VRE120_base_s015_UC","UC","21.0","0.2397260273972603","4.0","9853.506778661507","9853.506778661507","0.0","9853.506778661507","1552.4009067999996","13","1.6153846153846154","3.6000000000000014","545.3430001735687"
"RAChronoOps_VRE120_base_s016_ED","ED","3.0","0.03424657534246575","1.0","102.978209265376","102.978209265376","0.0","102.978209265376","45.52982239999983","2","1.5","1.95","116.82100009918213"
"RAChronoOps_VRE120_base_s016_UC","UC","3.0","0.03424657534246575","1.0","102.97820926537358","102.97820926537358","0.0","102.97820926537358","45.52982239999983","2","1.5","1.95","614.2820000648499"
"RAChronoOps_VRE120_base_s017_ED","ED","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","116.49000000953674"
"RAChronoOps_VRE120_base_s017_UC","UC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","572.8900001049042"
"RAChronoOps_VRE120_base_s018_ED","ED","10.0","0.1141552511415525","2.0","3095.74536493075","3095.74536493075","0.0","3095.74536493075","1041.5207527999992","5","2.0","3.8","112.8270001411438"
"RAChronoOps_VRE120_base_s018_UC","UC","11.0","0.12557077625570776","2.0","3095.745364930749","3095.745364930749","0.0","3095.745364930749","938.3923464653772","6","1.8333333333333333","3.0","587.4199998378754"
"RAChronoOps_VRE120_base_s019_ED","ED","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","116.49699997901917"
"RAChronoOps_VRE120_base_s019_UC","UC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","560.0539999008179"
"RAChronoOps_VRE120_base_s020_ED","ED","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","118.03600001335144"
"RAChronoOps_VRE120_base_s020_UC","UC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","540.2159998416901"
