case_folder,mode,hour,load_shed_mw
RAChronoOps_VRE120_base_s006_ED,ED,5397,143.76966000000175
RAChronoOps_VRE120_base_s006_ED,ED,5413,279.5635799999991
RAChronoOps_VRE120_base_s006_ED,ED,5415,1332.3098683999997
RAChronoOps_VRE120_base_s006_ED,ED,5416,315.52982239999983
RAChronoOps_VRE120_base_s006_ED,ED,5417,668.9817464653757
RAChronoOps_VRE120_base_s006_ED,ED,5420,386.15677199999936
RAChronoOps_VRE120_base_s006_ED,ED,5438,66.51405319999958
RAChronoOps_VRE120_base_s006_ED,ED,5439,1.6443024653772227
RAChronoOps_VRE120_base_s006_ED,ED,5442,1046.362930799999
RAChronoOps_VRE120_base_s006_ED,ED,5445,127.69372560000102
RAChronoOps_VRE120_base_s006_ED,ED,5846,59.39261760000045
RAChronoOps_VRE120_base_s006_ED,ED,5849,1194.4151788
RAChronoOps_VRE120_base_s006_ED,ED,5850,128.74401800000032
RAChronoOps_VRE120_base_s006_ED,ED,5851,38.8294548653829
RAChronoOps_VRE120_base_s006_UC,UC,5391,1074.1215895999994
RAChronoOps_VRE120_base_s006_UC,UC,5392,99.98836200000005
RAChronoOps_VRE120_base_s006_UC,UC,5393,389.31373526537914
RAChronoOps_VRE120_base_s006_UC,UC,5394,886.5064327999999
RAChronoOps_VRE120_base_s006_UC,UC,5397,143.7696600000013
RAChronoOps_VRE120_base_s006_UC,UC,5413,279.5635799999982
RAChronoOps_VRE120_base_s006_UC,UC,5415,1332.3098683999997
RAChronoOps_VRE120_base_s006_UC,UC,5416,1082.7690724653767
RAChronoOps_VRE120_base_s006_UC,UC,5417,287.8992683999986
RAChronoOps_VRE120_base_s006_UC,UC,5438,66.51405319999958
RAChronoOps_VRE120_base_s006_UC,UC,5439,629.4881547999985
RAChronoOps_VRE120_base_s006_UC,UC,5441,355.1561476653786
RAChronoOps_VRE120_base_s006_UC,UC,5442,63.36293079999905
RAChronoOps_VRE120_base_s006_UC,UC,5445,127.69372560000124
RAChronoOps_VRE120_base_s006_UC,UC,5846,59.39261759999954
RAChronoOps_VRE120_base_s006_UC,UC,5847,600.8854139999996
RAChronoOps_VRE120_base_s006_UC,UC,5849,632.3592196653816
RAChronoOps_VRE120_base_s006_UC,UC,5850,128.74401800000032
RAChronoOps_VRE120_base_s007_ED,ED,4934,107.65135519999785
RAChronoOps_VRE120_base_s007_ED,ED,4936,321.55222046537705
RAChronoOps_VRE120_base_s007_ED,ED,4984,88.60247046537643
RAChronoOps_VRE120_base_s007_ED,ED,5725,139.40802879999865
RAChronoOps_VRE120_base_s007_ED,ED,5729,19.362976865375117
RAChronoOps_VRE120_base_s007_UC,UC,4934,107.65135519999853
RAChronoOps_VRE120_base_s007_UC,UC,4936,321.5522204653771
RAChronoOps_VRE120_base_s007_UC,UC,4984,88.60247046537609
RAChronoOps_VRE120_base_s007_UC,UC,5725,139.4080287999991
RAChronoOps_VRE120_base_s007_UC,UC,5729,19.362976865376368
RAChronoOps_VRE120_base_s011_ED,ED,4986,1102.4009067999978
RAChronoOps_VRE120_base_s011_ED,ED,4987,6.837097999999969
RAChronoOps_VRE120_base_s011_ED,ED,4989,245.36446566537862
RAChronoOps_VRE120_base_s011_ED,ED,5005,70.34828480000033
RAChronoOps_VRE120_base_s011_ED,ED,5006,341.7803295999993
RAChronoOps_VRE120_base_s011_ED,ED,5008,627.3810848000003
RAChronoOps_VRE120_base_s011_ED,ED,5010,671.3885608653778
RAChronoOps_VRE120_base_s011_ED,ED,5013,172.23603319999893
RAChronoOps_VRE120_base_s011_UC,UC,4984,283.71048846537826
RAChronoOps_VRE120_base_s011_UC,UC,4985,944.6539771999996
RAChronoOps_VRE120_base_s011_UC,UC,4986,119.40090679999958
RAChronoOps_VRE120_base_s011_UC,UC,4987,6.837097999999969
RAChronoOps_VRE120_base_s011_UC,UC,5005,70.34828480000033
RAChronoOps_VRE120_base_s011_UC,UC,5006,341.78032959999996
RAChronoOps_VRE120_base_s011_UC,UC,5007,449.4864544653764
RAChronoOps_VRE120_base_s011_UC,UC,5009,849.283191200001
RAChronoOps_VRE120_base_s011_UC,UC,5013,172.23603319999938
RAChronoOps_VRE120_base_s014_ED,ED,5725,214.40802879999865
RAChronoOps_VRE120_base_s014_ED,ED,5727,625.3629768653751
RAChronoOps_VRE120_base_s014_UC,UC,5725,214.4080287999991
RAChronoOps_VRE120_base_s014_UC,UC,5727,625.3629768653768
RAChronoOps_VRE120_base_s015_ED,ED,4934,290.65135519999785
RAChronoOps_VRE120_base_s015_ED,ED,4936,638.9704287999994
RAChronoOps_VRE120_base_s015_ED,ED,4938,451.9030824653791
RAChronoOps_VRE120_base_s015_ED,ED,4939,22.99726759999976
RAChronoOps_VRE120_base_s015_ED,ED,4941,388.68144159999883
RAChronoOps_VRE120_base_s015_ED,ED,4984,1122.2972087999997
RAChronoOps_VRE120_base_s015_ED,ED,4985,411.65397719999964
RAChronoOps_VRE120_base_s015_ED,ED,4986,1552.4009067999978
RAChronoOps_VRE120_base_s015_ED,ED,4987,456.83709799999997
RAChronoOps_VRE120_base_s015_ED,ED,4988,769.9511640653791
RAChronoOps_VRE120_base_s015_ED,ED,4990,258.87819559999934
RAChronoOps_VRE120_base_s015_ED,ED,5005,122.34828480000033
RAChronoOps_VRE120_base_s015_ED,ED,5006,393.7803295999993
RAChronoOps_VRE120_base_s015_ED,ED,5008,679.3810848000003
RAChronoOps_VRE120_base_s015_ED,ED,5010,766.3885608653779
RAChronoOps_VRE120_base_s015_ED,ED,5013,224.23603319999893
RAChronoOps_VRE120_base_s015_ED,ED,5029,15.549221199998101
RAChronoOps_VRE120_base_s015_ED,ED,5030,571.5657611999995
RAChronoOps_VRE120_base_s015_ED,ED,5032,454.724287199997
RAChronoOps_VRE120_base_s015_ED,ED,5034,260.31108966538056
RAChronoOps_VRE120_base_s015_UC,UC,4934,290.65135519999876
RAChronoOps_VRE120_base_s015_UC,UC,4935,738.5911755999996
RAChronoOps_VRE120_base_s015_UC,UC,4937,352.2823356653791
RAChronoOps_VRE120_base_s015_UC,UC,4939,22.99726759999976
RAChronoOps_VRE120_base_s015_UC,UC,4941,388.68144159999883
RAChronoOps_VRE120_base_s015_UC,UC,4983,234.5378843999997
RAChronoOps_VRE120_base_s015_UC,UC,4984,1122.2972087999997
RAChronoOps_VRE120_base_s015_UC,UC,4985,411.65397719999964
RAChronoOps_VRE120_base_s015_UC,UC,4986,1552.4009067999996
