case,model,model_internal,n_scen,delta_mw,eue_baseline_mwh,eue_plus_storage_mwh,eue_plus_perfect_rerun_mwh,eue_plus_perfect_analytical_mwh,delta_eue_storage_mwh,delta_eue_perfect_rerun_mwh,delta_eue_perfect_analytical_mwh,normalized_marginal_cc_rerun,normalized_marginal_cc_analytical,cc_error_rerun_vs_m3,cc_error_analytical_vs_m3
VRE120_base,Event-window storage MCS,M2,20,5.0,2479.16958463441,2445.9656692026415,2412.5825040544096,2450.54980051441,33.203915431768564,66.58708058000047,28.619784120000077,0.49865402030767825,1.1601735111819031,2.0483614804334138e-14,0.04407551347547667
VRE120_base,Event-window storage MCS,M2,20,10.0,2479.16958463441,2412.7617537708743,2346.6050481311404,2422.04980051441,66.40783086353576,132.56453650326966,57.11978412000008,0.500947181012456,1.162606474912841,3.4416913763379853e-15,0.04353409378418016
VRE120_wind_hvy,Naive storage MCS,M1,5,1.0,21202.404920319976,21202.404920319976,21135.280354639974,21135.280354639974,0.0,67.12456568000198,67.12456568000198,0.0,0.0,-0.628497540322272,-1.17129087060058
VRE120_wind_hvy,Naive storage MCS,M1,5,5.0,21202.404920319976,21202.404920319976,20868.884135039974,20868.884135039978,0.0,333.5207852800013,333.52078527999765,0.0,0.0,-0.6284975403222367,-1.1712908706005198
VRE120_wind_hvy,Naive storage MCS,M1,5,10.0,21202.404920319976,21202.404920319976,20541.512533199973,20541.51253319998,0.0,660.8923871200022,660.892387119995,0.0,0.0,-0.6241986185306502,-1.175022128860858
VRE120_wind_hvy,SOC-floor storage MCS,M1b,5,1.0,13798.608819291514,13793.296192822425,13746.28425361151,13762.208819291514,5.312626469089082,52.324565680004525,36.399999999999636,0.10153216562902626,0.14595127662332788,-0.5269653746932458,-1.025339593977252
VRE120_wind_hvy,SOC-floor storage MCS,M1b,5,5.0,13798.608819291514,13772.0456869461,13538.851372331508,13617.498642091512,26.563132345414488,259.75744696000584,181.110177200002,0.10226129281869768,0.14666835821203203,-0.526236247503539,-1.0246225123884878
VRE120_wind_hvy,SOC-floor storage MCS,M1b,5,10.0,13798.608819291514,13745.482554600681,13282.479770491515,13438.430106411513,53.12626469083261,516.1290487999995,360.1787128800006,0.10293213453951337,0.14749973496777,-0.5212664839911368,-1.027522393893088
VRE120_wind_hvy,Emergency-only storage MCS,M1c,5,1.0,1113.1836845584533,1108.0300047278104,1104.9836845584528,1108.7836845584532,5.153679830642886,8.2000000000005,4.400000000000091,0.6284975403222649,1.1712908706006318,-7.105427357601002e-15,5.1736392947532295e-14
VRE120_wind_hvy,Emergency-only storage MCS,M1c,5,5.0,1113.1836845584533,1087.4152854052404,1072.1836845584528,1091.1836845584533,25.76839915321284,41.000000000000455,22.0,0.6284975403222575,1.1712908706005836,2.0761170560490427e-14,6.372680161348399e-14
VRE120_wind_hvy,Emergency-only storage MCS,M1c,5,10.0,1113.1836845584533,1062.5849125720285,1032.1217108784529,1070.1217108784533,50.59877198642471,81.06197368000039,43.06197367999994,0.6241986185306568,1.17502212886088,6.661338147750939e-15,2.19824158875781e-14
VRE120_wind_hvy,Event-window storage MCS,M2,5,1.0,1113.1836845584512,1108.0300047278083,1104.983684558451,1109.3836845584513,5.153679830642886,8.200000000000273,3.7999999999999545,0.6284975403222823,1.356231534379723,1.0325074129013956e-14,0.1849406637791431
VRE120_wind_hvy,Event-window storage MCS,M2,5,5.0,1113.1836845584512,1087.4152854052384,1072.1836845584512,1094.1836845584512,25.76839915321284,41.0,19.0,0.6284975403222643,1.3562315343796232,2.7644553313166398e-14,0.18494066377910334
VRE120_wind_hvy,Event-window storage MCS,M2,5,10.0,1113.1836845584512,1062.5849125720265,1032.1217108784508,1076.1217108784513,50.59877198642471,81.06197368000039,37.06197367999994,0.6241986185306568,1.3652476369257622,6.661338147750939e-15,0.19022550806490424
