portfolio,scenario,hour,highs_load_shed_mw,gurobi_load_shed_mw,abs_diff_mw,thermal_avail_mw,vre_output_mw,load_mw,highs_storage_discharge_mw,highs_storage_charge_mw,highs_soc_mwh,gurobi_storage_discharge_mw,gurobi_storage_charge_mw,gurobi_soc_mwh,window_start,window_end,inside_window,dispute_type
VRE120_base,4,5029,0.0,63.54922119999901,63.54922119999901,6936.0,2082.7999999999997,9082.349221199998,63.54922119999901,0.0,3865.0132391593816,0.0,0.0,3932.0,4098,6259,true,Gurobi_only
VRE120_base,4,5030,0.0,619.5657611999995,619.5657611999995,6936.0,1752.6,9308.1657612,619.5657611999995,0.0,3211.9335839433897,0.0,0.0,3932.0,4098,6259,true,Gurobi_only
VRE120_base,4,5031,0.0,17.63969446537635,17.63969446537635,6936.0,1523.0,9328.8556668,869.8556668000001,0.0,2295.0252030458864,852.2159723346236,0.0,3033.6854896825153,4098,6259,true,Gurobi_only
VRE120_base,4,5032,502.724287199997,0.0,502.724287199997,6936.0,1718.7000000000003,9157.424287199998,0.0,0.0,2295.0252030458864,502.724287199997,0.0,2503.7675621369744,4098,6259,true,HiGHS_only
VRE120_base,4,5033,749.6432031999993,0.0,749.6432031999993,6936.0,1201.4,8887.043203199999,0.0,0.0,2295.0252030458864,749.6432031999993,0.0,1713.5742439448336,4098,6259,true,HiGHS_only
VRE120_base,4,5034,431.3871864653793,0.0,431.3871864653793,6936.0,660.1999999999999,8493.3877032,465.8005167346214,0.0,1804.0283469909596,897.1877032000002,0.0,767.8553670091206,4098,6259,true,HiGHS_only
VRE120_base,5,4961,0.0,417.4138556653795,417.4138556653795,7246.0,1001.3000000000004,8763.4158888,516.1158888,0.0,3387.9660849299376,98.70203313462048,0.0,3827.958921868397,4146,6260,true,Gurobi_only
VRE120_base,5,4965,532.357358865379,0.0,532.357358865379,7091.0,43.70000000000001,7817.220694799999,150.16333593462085,0.0,121.16109078361671,682.5206947999995,0.0,0.0,4146,6260,true,HiGHS_only
VRE120_base,5,4966,0.0,114.94350319999921,114.94350319999921,7091.0,110.6,7316.5435032,114.94350319999921,0.0,0.0,0.0,0.0,0.0,4146,6260,true,Gurobi_only
VRE120_base,5,4983,0.0,339.5378843999997,339.5378843999997,7246.0,1281.8,8867.3378844,339.5378843999997,0.0,3574.095644460349,0.0,0.0,3932.0,4146,6260,true,Gurobi_only
VRE120_base,5,4984,0.0,780.9909100653791,780.9909100653791,7246.0,917.7,9035.9972088,872.2972087999997,0.0,2654.6136523218584,91.30629873462051,0.0,3835.754710426283,4146,6260,true,Gurobi_only
VRE120_base,5,4989,137.52879446537918,0.0,137.52879446537918,7246.0,80.7,8016.616429199999,552.3876347346204,0.0,0.0,689.9164291999996,0.0,0.0,4146,6260,true,HiGHS_only
VRE120_base,5,5004,0.0,238.49886639999932,238.49886639999932,6916.0,1832.4999999999998,8986.9988664,238.49886639999932,0.0,3680.600120935933,0.0,0.0,3932.0,4146,6260,true,Gurobi_only
VRE120_base,5,5005,0.0,195.34828480000033,195.34828480000033,7266.0,1880.9,9342.2482848,195.34828480000033,0.0,3474.684948610849,0.0,0.0,3932.0,4146,6260,true,Gurobi_only
VRE120_base,5,5008,752.3810847999994,0.0,752.3810847999994,7266.0,1577.6000000000001,9595.9810848,0.0,0.0,2525.011052747629,752.3810847999994,0.0,2189.2468053380176,4146,6260,true,HiGHS_only
VRE120_base,5,5009,0.0,795.796184865379,795.796184865379,7266.0,1215.3,9400.583191200001,919.283191200001,0.0,1556.0014864476088,123.48700633462204,0.0,2059.0800715203354,4146,6260,true,Gurobi_only
VRE120_base,5,5010,477.26225126537975,0.0,477.26225126537975,7266.0,781.8000000000002,9018.2148732,493.15262193461933,0.0,1036.172979981839,970.4148731999994,0.0,1036.172979981839,4146,6260,true,HiGHS_only
VRE120_base,5,5056,0.0,475.5941728653812,475.5941728653812,6916.0,1338.4,8987.9883324,733.5883324000006,0.0,3119.296046721835,257.99415953461937,0.0,3660.0502776165854,4146,6260,true,Gurobi_only
