portfolio,case_label,method,paper_name,N,seed,delta_mw,eue_base_mwh,eue_storage_increment_mwh,eue_firm_increment_mwh,delta_eue_storage,delta_eue_firm,cc,cc_bootstrap_mean,cc_ci_lo,cc_ci_hi,denom_ci_lo,denom_ci_hi,denominator_status,n_bootstrap_valid,n_bootstrap_total,calibration_version,cyclic_soc_frac,code_commit
VRE120_base,Balanced VRE,M1c,Emergency-only storage MCS,500,42,5.0,3237.0355269391307,3198.8296406632367,3160.777145807891,38.205886275894045,76.25838113123973,0.5010057348338169,0.5009773825984946,0.49619743330048094,0.5058155394690764,70.16935738513536,82.77620376379639,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,M1c,Emergency-only storage MCS,1000,42,5.0,3205.950730383511,3168.4425686157756,3131.017049497676,37.5081617677356,74.9336808858352,0.5005514386098416,0.5005952692401756,0.496909770649394,0.5042074103564615,70.49502950552272,79.55325522069153,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,M1c,Emergency-only storage MCS,20,42,10.0,2479.1695846344096,2412.7617537708734,2346.605048131141,66.40783086353622,132.56453650326876,0.5009471810124629,0.5018793621448576,0.4834982262672346,0.5259941716468742,74.9537846427007,197.07373228493313,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,M1c,Emergency-only storage MCS,50,42,10.0,2888.524358517524,2816.7830926375104,2745.2263233029867,71.74126588001354,143.29803521453732,0.5006437511345272,0.5009704967415122,0.49032827692525555,0.5129514199606817,104.46651522567262,188.12910934766873,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,M1c,Emergency-only storage MCS,100,42,10.0,2703.1350159549856,2635.043589373741,2566.9658544017557,68.09142658124483,136.16916155322997,0.5000502742658599,0.5001400985776585,0.4908959610727052,0.5101877230886138,109.00235213558085,164.4292444463843,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,M1c,Emergency-only storage MCS,200,42,10.0,3179.664800492754,3104.3740700535445,3029.6651329978895,75.29073043920926,149.9996674948643,0.5019393155773967,0.5021277407211221,0.4933152229453322,0.511248265262251,130.77550309695118,169.98345581564203,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,M1c,Emergency-only storage MCS,500,42,10.0,3237.0355269391307,3161.113238522805,3086.2912892350223,75.9222884163255,150.7442377041084,0.503649688854782,0.5036056238177495,0.4985061156054826,0.508755384064006,138.57551374349984,163.82100193075533,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,M1c,Emergency-only storage MCS,1000,42,10.0,3205.950730383511,3131.4858149099846,3057.8629484992725,74.46491547352662,148.08778188423867,0.5028430740608729,0.5028990357859995,0.4990236566965146,0.5066818121348551,139.18243707277787,157.35341855849936,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,20,42,1.0,2479.1695846344096,2472.528801548056,2465.8195846344097,6.640783086353622,13.349999999999909,0.4974369353073908,0.498038358963419,0.48215342017484264,0.5183107700986509,7.599999999999909,19.80250000000151,identified,2000,2000,N/A,NaN,c88914a
VRE120_base,Balanced VRE,M2,Event-window storage MCS,50,42,1.0,2888.524358517524,2881.2384707884958,2873.896734284216,7.285887729028218,14.62762423330787,0.4980909827063966,0.4983480453316187,0.4890490686681781,0.5089615062119892,10.726933627475086,19.239999999999327,identified,2000,2000,N/A,NaN,c88914a
