model,case,scenario_id,lolh,eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,runtime_s
M1,VRE120_wind_hvy,14,26.0,5580.084951999987,636.720752799999,11,2.3636363636363638,0.0
M1,VRE120_wind_hvy,15,62.0,24003.500644399966,1462.2009067999988,20,3.1,0.0
M1,VRE120_wind_hvy,16,50.0,10673.109353599975,721.5298223999998,20,2.5,0.0
M1,VRE120_wind_hvy,17,28.0,5699.138032799995,538.2009067999988,11,2.5454545454545454,0.0
M1,VRE120_wind_hvy,18,50.0,17867.81303159998,1142.3098683999997,17,2.9411764705882355,0.0
M1,VRE120_wind_hvy,19,51.0,14673.605152799977,810.6539771999996,18,2.8333333333333335,0.0
M1,VRE120_wind_hvy,20,57.0,15740.251583599984,618.0773864000012,23,2.4782608695652173,0.0
M1b,VRE120_wind_hvy,1,18.0,8656.27878846537,963.5103431999987,5,3.6,0.0
M1b,VRE120_wind_hvy,2,40.0,11791.265023330736,957.2009067999988,14,2.857142857142857,0.0
M1b,VRE120_wind_hvy,3,39.0,13621.972562865361,869.5393583999994,12,3.25,0.0
M1b,VRE120_wind_hvy,4,43.0,14280.785001730732,1169.2009067999988,13,3.3076923076923075,0.0
M1b,VRE120_wind_hvy,5,42.0,20642.742720065355,1212.2009067999988,13,3.230769230769231,0.0
M1b,VRE120_wind_hvy,6,33.0,14816.540617330744,1322.3098683999997,10,3.3,0.0
M1b,VRE120_wind_hvy,7,27.0,8984.59823649805,797.2009067999988,9,3.0,0.0
M1b,VRE120_wind_hvy,8,23.0,6683.688286432676,732.2009067999988,10,2.3,0.0
M1b,VRE120_wind_hvy,9,11.0,1674.0923924653707,382.20090679999885,5,2.2,0.0
M1b,VRE120_wind_hvy,10,4.0,798.2782000326824,315.0370979999998,2,2.0,0.0
M1b,VRE120_wind_hvy,11,45.0,15949.306919632663,1012.2009067999988,13,3.4615384615384617,0.0
M1b,VRE120_wind_hvy,12,10.0,2470.6619500653705,610.0370979999998,5,2.0,0.0
M1b,VRE120_wind_hvy,13,25.0,7265.056158865362,587.5298223999998,8,3.125,0.0
M1b,VRE120_wind_hvy,14,9.0,2045.377942032681,437.20090679999885,3,3.0,0.0
M1b,VRE120_wind_hvy,15,37.0,19667.665659632665,1462.2009067999988,8,4.625,0.0
M1b,VRE120_wind_hvy,16,5.0,2378.739882065369,721.5298223999998,2,2.5,0.0
M1b,VRE120_wind_hvy,17,3.0,715.6802420326876,411.0370979999998,1,3.0,0.0
M1b,VRE120_wind_hvy,18,32.0,12264.524113298052,1142.3098683999997,10,3.2,0.0
M1b,VRE120_wind_hvy,19,30.0,8150.955735298052,810.6539771999996,11,2.727272727272727,0.0
M1b,VRE120_wind_hvy,20,24.0,6789.346918065366,618.0773864000012,8,3.0,0.0
