scenario_id,event_start_hour,event_end_hour,event_duration_h,pre_storage_eue_mwh,event_peak_shortfall_mw,storage_power_mw,storage_energy_mwh,usable_initial_soc_mwh,feasible_charge_before_event_mwh,feasible_discharge_energy_mwh,feasible_discharge_power_limited_mwh,storage_coverage_bound_mwh,residual_eue_bound_mwh,case
7,4768,4772,5,1678.610858799998,562.0228283999986,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1678.610858799998,1678.610858799998,0.0,VRE120_base
7,4865,4867,3,460.44278199999826,281.0678031999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,460.44278199999826,460.44278199999826,0.0,VRE120_base
7,4912,4915,4,476.89019839999855,225.07083479999983,983.0,3932.0,1966.0,3932.0,3730.2227279346203,476.89019839999855,476.89019839999855,0.0,VRE120_base
7,4934,4941,8,4159.426303599994,842.9972675999998,983.0,3932.0,1966.0,3932.0,3730.2227279346203,4159.426303599994,3730.2227279346203,429.2035756653736,VRE120_base
7,4961,4965,5,2306.4627619999983,730.277386400001,983.0,3932.0,1966.0,3932.0,3730.2227279346203,2306.4627619999983,2306.4627619999983,0.0,VRE120_base
7,4984,4989,6,3818.825198399996,887.4009067999987,983.0,3932.0,1966.0,3932.0,3730.2227279346203,3818.825198399996,3730.2227279346203,88.60247046537597,VRE120_base
7,5006,5012,7,3000.7727032000003,596.0900187999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,3000.7727032000003,3000.7727032000003,0.0,VRE120_base
7,5031,5031,1,209.8556668000001,209.8556668000001,983.0,3932.0,1966.0,3932.0,3730.2227279346203,209.8556668000001,209.8556668000001,0.0,VRE120_base
7,5033,5036,4,720.6781507999995,325.3956824000006,983.0,3932.0,1966.0,3932.0,3730.2227279346203,720.6781507999995,720.6781507999995,0.0,VRE120_base
7,5057,5060,4,1078.437882799998,349.3393583999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1078.437882799998,1078.437882799998,0.0,VRE120_base
7,5083,5083,1,1.815321999999469,1.815321999999469,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1.815321999999469,1.815321999999469,0.0,VRE120_base
7,5226,5227,2,157.8474527999988,133.63549239999975,983.0,3932.0,1966.0,3932.0,3730.2227279346203,157.8474527999988,157.8474527999988,0.0,VRE120_base
7,5370,5370,1,73.5917243999993,73.5917243999993,983.0,3932.0,1966.0,3932.0,3730.2227279346203,73.5917243999993,73.5917243999993,0.0,VRE120_base
7,5391,5396,6,2069.8223267999992,470.3365812000002,983.0,3932.0,1966.0,3932.0,3730.2227279346203,2069.8223267999992,2069.8223267999992,0.0,VRE120_base
7,5414,5418,5,2329.553429599995,712.3098683999997,983.0,3932.0,1966.0,3932.0,3730.2227279346203,2329.553429599995,2329.553429599995,0.0,VRE120_base
7,5725,5732,8,3888.9937335999975,635.7252680000001,983.0,3932.0,1966.0,3932.0,3730.2227279346203,3888.9937335999975,3730.2227279346203,158.7710056653773,VRE120_base
7,5847,5851,5,1527.502969600002,553.4151787999999,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1527.502969600002,1527.502969600002,0.0,VRE120_base
7,5922,5922,1,74.10277600000063,74.10277600000063,983.0,3932.0,1966.0,3932.0,3730.2227279346203,74.10277600000063,74.10277600000063,0.0,VRE120_base
7,5946,5947,2,507.6063103999977,339.6838927999979,983.0,3932.0,1966.0,3932.0,3730.2227279346203,507.6063103999977,507.6063103999977,0.0,VRE120_base
7,5969,5972,4,1128.193000399997,501.670475599999,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1128.193000399997,1128.193000399997,0.0,VRE120_base
7,5993,5996,4,1572.4478648000004,533.7841744000007,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1572.4478648000004,1572.4478648000004,0.0,VRE120_base
7,6016,6020,5,1131.4590219999955,500.0921435999999,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1131.4590219999955,1131.4590219999955,0.0,VRE120_base
7,6042,6043,2,215.81290160000026,145.53624000000036,983.0,3932.0,1966.0,3932.0,3730.2227279346203,215.81290160000026,215.81290160000026,0.0,VRE120_base
8,4339,4340,2,648.5862647999993,364.2572659999996,983.0,3932.0,1966.0,3932.0,3730.2227279346203,648.5862647999993,648.5862647999993,0.0,VRE120_base
8,4744,4748,5,1092.3143155999978,445.9917112000003,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1092.3143155999978,1092.3143155999978,0.0,VRE120_base
8,4768,4772,5,1696.610858799998,588.0228283999986,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1696.610858799998,1696.610858799998,0.0,VRE120_base
8,4795,4795,1,34.376501600000665,34.376501600000665,983.0,3932.0,1966.0,3932.0,3730.2227279346203,34.376501600000665,34.376501600000665,0.0,VRE120_base
8,4818,4821,4,1430.2249531999978,562.1445459999995,983.0,3932.0,1966.0,3932.0,3730.2227279346203,1430.2249531999978,1430.2249531999978,0.0,VRE120_base
8,4839,4842,4,589.880029599999,257.51234640000075,983.0,3932.0,1966.0,3932.0,3730.2227279346203,589.880029599999,589.880029599999,0.0,VRE120_base
