case,scenario_id,pre_storage_eue_mwh,residual_eue_bound_mwh,storage_sufficiency_ratio,m1c_eue_mwh,m2_eue_mwh,m3_eue_mwh,bound_minus_m3_mwh,m1c_minus_m3_mwh,m2_minus_m3_mwh
VRE120_base_dur8h,16,23056.623701599965,63.42909079999299,0.9972489861646312,63.42909079999845,63.42909079999845,63.42909079999845,-5.4569682106375694e-12,0.0,0.0
VRE120_base_dur8h,17,14618.263687599972,1.8189894035458565e-12,0.9999999999999999,0.0,0.0,0.0,1.8189894035458565e-12,0.0,0.0
VRE120_base_dur8h,18,34907.47428799997,574.2569795999952,0.9835491684427766,574.2569795999971,574.2569795999971,574.2569795999971,-1.8189894035458565e-12,0.0,0.0
VRE120_base_dur8h,19,27280.860125999963,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base_dur8h,20,30448.88220039996,7.275957614183426e-12,0.9999999999999998,0.0,0.0,0.0,7.275957614183426e-12,0.0,0.0
VRE120_base_ls1p225,1,48865.73282532512,6177.760721411549,0.8735768325936193,6177.760721411551,6177.760721411547,6177.760721411545,3.637978807091713e-12,5.4569682106375694e-12,1.8189894035458565e-12
VRE120_base_ls1p225,2,66332.49625617515,6787.353397401937,0.8976767982439666,6787.353397401935,6787.353397401932,6787.353397401933,4.547473508864641e-12,1.8189894035458565e-12,-9.094947017729282e-13
VRE120_base_ls1p225,3,58026.24306327514,8398.333665151935,0.8552666307209669,8398.333665151935,8398.333665151938,8398.333665151937,-1.8189894035458565e-12,-1.8189894035458565e-12,1.8189894035458565e-12
VRE120_base_ls1p225,4,75443.41786650015,15772.071776082696,0.7909417120524425,15772.07177608271,15772.07177608271,15772.07177608271,-1.4551915228366852e-11,0.0,0.0
VRE120_base_ls1p225,5,81228.91549487515,21530.431535138494,0.7349412902539998,21530.431535138483,21530.431535138483,21530.431535138483,1.0913936421275139e-11,0.0,0.0
VRE120_base_ls1p225,6,60665.02679730013,14385.441439051952,0.7628709291249803,14385.441439051945,14385.441439051941,14385.441439051941,1.0913936421275139e-11,3.637978807091713e-12,0.0
VRE120_base_ls1p225,7,57487.99752202512,5531.515358336539,0.9037796479827416,5531.515358336546,5531.515358336544,5531.515358336543,-3.637978807091713e-12,3.637978807091713e-12,9.094947017729282e-13
VRE120_base_ls1p225,8,44595.80222045012,1752.1757332211564,0.960709850569351,1752.1757332211582,1752.1757332211564,1752.175733221156,4.547473508864641e-13,2.2737367544323206e-12,4.547473508864641e-13
VRE120_base_ls1p225,9,27991.0437389001,7.275957614183426e-12,0.9999999999999998,0.0,0.0,0.0,7.275957614183426e-12,0.0,0.0
VRE120_base_ls1p225,10,36683.77278642511,173.19376339999872,0.9952787363391344,173.19376340000235,173.19376340000235,173.19376340000235,-3.637978807091713e-12,0.0,0.0
VRE120_base_ls1p225,11,64053.38539745014,9579.755905901933,0.8504410680800131,9579.755905901933,9579.755905901933,9579.755905901933,0.0,0.0,0.0
VRE120_base_ls1p225,12,36080.9523602501,454.6291873403752,0.9873997453614547,454.62918734038794,454.6291873403861,454.6291873403866,-1.1368683772161603e-11,1.3642420526593924e-12,-4.547473508864641e-13
VRE120_base_ls1p225,13,43639.12524987513,2018.3035245461433,0.9537501379097437,2018.3035245461533,2018.3035245461542,2018.3035245461551,-1.1823431123048067e-11,-1.8189894035458565e-12,-9.094947017729282e-13
VRE120_base_ls1p225,14,32853.39313065009,2731.4583321057726,0.9168591712507924,2731.4583321057717,2731.4583321057708,2731.4583321057708,1.8189894035458565e-12,9.094947017729282e-13,0.0
VRE120_base_ls1p225,15,64687.892558075124,17734.969204882713,0.7258378886132252,17734.969204882713,17734.96920488271,17734.96920488271,3.637978807091713e-12,3.637978807091713e-12,0.0
VRE120_base_ls1p225,16,42502.05097517513,1410.8032287903916,0.966806231783628,1410.8032287903834,1410.8032287903852,1410.803228790385,6.59383658785373e-12,-1.5916157281026244e-12,2.2737367544323206e-13
VRE120_base_ls1p225,17,30146.54750185011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base_ls1p225,18,55811.918137600136,6348.3674713961445,0.8862542682058567,6348.367471396162,6348.367471396162,6348.367471396161,-1.6370904631912708e-11,9.094947017729282e-13,9.094947017729282e-13
VRE120_base_ls1p225,19,47044.61566422512,1337.2011048711502,0.9715758947970741,1337.201104871153,1337.2011048711547,1337.201104871154,-3.865352482534945e-12,-1.1368683772161603e-12,6.821210263296962e-13
VRE120_base_ls1p225,20,52504.90177057514,1584.2311320557783,0.9698269860787814,1584.231132055772,1584.2311320557737,1584.2311320557728,5.4569682106375694e-12,-9.094947017729282e-13,9.094947017729282e-13
VRE120_base_ls1p25,1,76015.10958125004,12579.896879076929,0.8345079425869841,12579.896879076918,12579.896879076914,12579.896879076914,1.4551915228366852e-11,3.637978807091713e-12,0.0
VRE120_base_ls1p25,2,102324.46107250004,16150.160851088425,0.8421671545414195,16150.160851088436,16150.160851088433,16150.160851088429,-3.637978807091713e-12,7.275957614183426e-12,3.637978807091713e-12
VRE120_base_ls1p25,3,90750.95838375004,16752.729985707672,0.815398864275714,16752.729985707687,16752.729985707683,16752.729985707687,-1.4551915228366852e-11,0.0,-3.637978807091713e-12
VRE120_base_ls1p25,4,110479.26081375004,27414.528788588446,0.751858144355212,27414.528788588435,27414.528788588435,27414.528788588435,1.0913936421275139e-11,0.0,0.0
