model,case,scenario_id,eue_mwh,lolh_h
M3,VRE120_base_dur4h,3,2519.0376033961334,6
M3,VRE120_base_dur4h,4,7004.091136661509,14
M3,VRE120_base_dur4h,5,9712.357466792264,24
M3,VRE120_base_dur4h,6,8239.83785026151,21
M3,VRE120_base_dur4h,7,676.5770517961292,4
M3,VRE120_base_dur4h,8,0.0,0
M3,VRE120_base_dur4h,9,0.0,0
M3,VRE120_base_dur4h,10,0.0,0
M3,VRE120_base_dur4h,11,3237.736763730755,7
M3,VRE120_base_dur4h,12,0.0,0
M3,VRE120_base_dur4h,13,0.0,0
M3,VRE120_base_dur4h,14,839.7710056653752,2
M3,VRE120_base_dur4h,15,9853.506778661507,16
M3,VRE120_base_dur4h,16,102.97820926537509,3
M3,VRE120_base_dur4h,17,0.0,0
M3,VRE120_base_dur4h,18,3095.745364930748,10
M3,VRE120_base_dur4h,19,0.0,0
M3,VRE120_base_dur4h,20,0.0,0
M1c,VRE120_base_dur8h,1,113.91124999999829,2
M1c,VRE120_base_dur8h,2,64.40090679999958,1
M1c,VRE120_base_dur8h,3,93.79773159999968,1
M1c,VRE120_base_dur8h,4,1059.614011999999,8
M1c,VRE120_base_dur8h,5,1404.8676487999937,13
M1c,VRE120_base_dur8h,6,1720.1353115999955,9
M1c,VRE120_base_dur8h,7,0.0,0
M1c,VRE120_base_dur8h,8,0.0,0
M1c,VRE120_base_dur8h,9,0.0,0
M1c,VRE120_base_dur8h,10,0.0,0
M1c,VRE120_base_dur8h,11,126.23800479999954,2
M1c,VRE120_base_dur8h,12,0.0,0
M1c,VRE120_base_dur8h,13,0.0,0
M1c,VRE120_base_dur8h,14,0.0,0
M1c,VRE120_base_dur8h,15,1964.9060367999973,6
M1c,VRE120_base_dur8h,16,63.42909079999845,2
M1c,VRE120_base_dur8h,17,0.0,0
M1c,VRE120_base_dur8h,18,574.2569795999971,5
M1c,VRE120_base_dur8h,19,0.0,0
M1c,VRE120_base_dur8h,20,0.0,0
M2,VRE120_base_dur8h,1,113.91124999999829,2
M2,VRE120_base_dur8h,2,64.40090679999958,1
M2,VRE120_base_dur8h,3,93.79773159999968,1
M2,VRE120_base_dur8h,4,1059.614011999999,8
M2,VRE120_base_dur8h,5,1404.8676487999937,13
M2,VRE120_base_dur8h,6,1720.1353115999946,9
M2,VRE120_base_dur8h,7,0.0,0
M2,VRE120_base_dur8h,8,0.0,0
M2,VRE120_base_dur8h,9,0.0,0
M2,VRE120_base_dur8h,10,0.0,0
