model,case,n_scenarios,mean_lolh_h,mean_eue_mwh,cvar_eue_mwh,p95_eue_mwh,runtime_s
M1c,VRE120_base_pwr1p0x,20,5.95,2479.1695846344096,9853.506778661507,9719.414932385727,1.1729998588562012
M2,VRE120_base_pwr1p0x,20,5.75,2479.1695846344096,9853.506778661507,9719.414932385725,8.540000200271606
M3,VRE120_base_pwr1p0x,20,5.95,2479.16958463441,9853.506778661507,9719.414932385725,182.42599987983704
M1c,VRE120_base_pwr2p0x,20,0.1,42.08979112653783,841.7958225307566,42.08979112653843,1.440999984741211
M2,VRE120_base_pwr2p0x,20,0.05,42.08979112653783,841.7958225307566,42.08979112653843,5.604000091552734
M3,VRE120_base_pwr2p0x,20,0.1,42.08979112653783,841.7958225307566,42.08979112653843,188.9170000553131
M1c,VRE120_wind_hvy_dur12h,20,1.2,188.92186751999944,1563.508769199998,748.2236582799985,2.122999906539917
M2,VRE120_wind_hvy_dur12h,20,1.2,188.9218675199993,1563.5087691999952,748.2236582799984,7.696000099182129
M3,VRE120_wind_hvy_dur12h,20,1.2,188.9218675199993,1563.5087691999952,748.2236582799984,181.32599997520447
M1c,VRE120_wind_hvy_dur2h,20,6.45,2890.802136411353,10292.226154228814,9246.103654275654,1.4000000953674316
M2,VRE120_wind_hvy_dur2h,20,6.15,2890.8021364113515,10292.226154228812,9246.10365427565,7.638000011444092
M3,VRE120_wind_hvy_dur2h,20,6.45,2890.8021364113515,10292.226154228814,9246.10365427565,175.7630000114441
M1c,VRE120_wind_hvy_dur4h,20,2.25,648.2368652992261,4264.14393053075,2866.2066569728677,2.0880000591278076
M2,VRE120_wind_hvy_dur4h,20,1.95,648.2368652992255,4264.143930530749,2866.206656972865,7.490000009536743
M3,VRE120_wind_hvy_dur4h,20,2.25,648.2368652992254,4264.143930530749,2866.2066569728645,177.85099983215332
M1c,VRE120_wind_hvy_dur8h,20,1.2,188.92186751999944,1563.508769199998,748.2236582799985,1.2139999866485596
M2,VRE120_wind_hvy_dur8h,20,1.2,188.9218675199993,1563.5087691999952,748.2236582799984,8.402000188827515
M3,VRE120_wind_hvy_dur8h,20,1.2,188.9218675199993,1563.5087691999952,748.2236582799984,181.41899991035461
M1c,VRE120_wind_hvy_pwr0p5x,20,11.3,3195.1962415484695,10645.331085396123,9509.06336702296,2.078000068664551
M2,VRE120_wind_hvy_pwr0p5x,20,11.1,3195.196241548468,10645.331085396123,9509.063367022962,10.406000137329102
M3,VRE120_wind_hvy_pwr0p5x,20,11.3,3195.196241548468,10645.331085396123,9509.063367022962,177.30999994277954
M1c,VRE120_wind_hvy_pwr1p0x,20,2.25,648.2368652992261,4264.14393053075,2866.2066569728677,1.5520000457763672
M2,VRE120_wind_hvy_pwr1p0x,20,1.95,648.2368652992255,4264.143930530749,2866.206656972865,7.435999870300293
M3,VRE120_wind_hvy_pwr1p0x,20,2.25,648.2368652992254,4264.143930530749,2866.2066569728645,177.80200004577637
M1c,VRE120_wind_hvy_pwr2p0x,20,0.05,0.5458813465377261,10.917626930754523,0.5458813465377339,2.3350000381469727
M2,VRE120_wind_hvy_pwr2p0x,20,0.05,0.5458813465376806,10.917626930753613,0.5458813465376884,6.0879998207092285
M3,VRE120_wind_hvy_pwr2p0x,20,0.05,0.5458813465376977,10.917626930753954,0.5458813465377055,186.0770001411438
