case_name,scenario_id,event_start_hour,event_end_hour,event_duration_h,m1c_soc_at_event_start,m3_soc_at_event_start,m1c_soc_min_during,m3_soc_min_during,m1c_eue_event,m3_eue_event
VRE120_base,16,5420,5420,1,80.75155712348692,80.75155712348555,0.0,0.0,39.549118465375614,39.54911846537664
VRE120_base,18,4938,4941,4,1142.5236191698102,1142.5236191698084,0.0,0.0,1663.203575665374,1663.2035756653754
VRE120_base,18,5415,5420,6,3063.4339247952894,3063.4339247952885,0.0,0.0,1432.5417892653732,1432.5417892653727
VRE120_bal15,1,6066,6066,1,3500.7955299301384,3001.5059844011103,2464.6225499482994,1965.3330044192714,36.21034319999944,36.21034319999944
VRE120_bal15,2,4989,4989,1,365.9956483350413,365.99564833504314,0.0,0.0,47.35247046537643,47.35247046537444
VRE120_bal15,4,4410,4412,3,3860.913985374695,3561.5227843451653,752.395045429178,453.0038443996482,281.2567691999993,281.2567691999993
VRE120_bal15,4,4986,4989,4,3083.8758813890727,3083.8758813890736,0.0,0.0,964.3524704653746,964.3524704653742
VRE120_bal15,5,4963,4964,2,3076.945841392047,2942.021994558196,1004.5998814283689,869.6760345945181,209.11646800000108,209.11646800000108
VRE120_bal15,5,4986,4989,4,2619.0210653443205,2619.0210653443214,0.0,0.0,1577.3524704653755,1577.3524704653746
VRE120_bal15,5,5058,5058,1,3150.231539730861,3150.231539730861,2114.058559749022,2114.058559749022,16.48935840000013,16.48935839999922
VRE120_bal15,5,5061,5062,2,172.22383009205464,172.22383009205464,0.0,0.0,361.0341544653784,361.03415446537866
VRE120_bal15,11,4986,4986,1,3040.658086700105,3040.6580867001057,2004.4851067182658,2004.4851067182667,8.75090679999812,8.75090679999812
VRE120_bal15,11,4989,4989,1,85.34446184622436,85.34446184622516,0.0,0.0,368.6015636653765,368.6015636653761
VRE120_bal15,15,4985,4990,6,3232.6652376368975,3232.6652376368984,0.0,0.0,3279.9306660653756,3279.9306660653747
VRE120_bal15,18,4939,4939,1,2799.4961937162807,1986.5896598026443,1763.3232137344417,950.4166798208053,51.04726759999903,51.04726759999903
VRE120_wind_hvy,1,4988,4989,2,448.3009805364742,448.3009805364761,0.0,0.0,514.140354865377,514.1403548653742
VRE120_wind_hvy,2,4988,4989,2,476.7614794779897,476.76147947799166,0.0,0.0,537.140354865377,537.1403548653741
VRE120_wind_hvy,4,4410,4411,2,3932.0,3469.262269466828,1859.654040036322,1396.91630950315,320.20423159999973,320.20423159999973
VRE120_wind_hvy,4,4985,4989,5,3482.221649651852,3482.221649651853,0.0,0.0,1401.8024704653762,1401.8024704653744
VRE120_wind_hvy,5,4963,4965,3,2566.237999274854,2566.237999274854,0.0,0.0,245.84003406537977,245.84003406537954
VRE120_wind_hvy,5,4985,4989,5,2738.7302380823367,2738.7302380823376,0.0,0.0,2322.140354865377,2322.1403548653743
VRE120_wind_hvy,5,5058,5058,1,2916.7500391550957,2916.7500391550957,1880.5770591732567,1880.5770591732567,61.5393583999994,61.5393583999994
VRE120_wind_hvy,5,5061,5061,1,132.74806396761824,132.74806396761824,0.0,0.0,157.80139526538005,157.80139526537977
VRE120_wind_hvy,5,5415,5415,1,3369.082375227436,2859.783761741255,2332.909395245597,1823.6107817594163,5.3098683999996865,5.3098683999996865
VRE120_wind_hvy,6,5391,5396,6,3482.397354231391,3482.397354231391,0.0,0.0,908.9301196653796,908.9301196653793
VRE120_wind_hvy,6,5415,5417,3,2728.021674306762,2728.021674306762,0.0,0.0,604.3103600653758,604.3103600653749
VRE120_wind_hvy,11,4986,4986,1,2299.8945448056616,2299.894544805663,1263.7215648238225,1263.7215648238239,29.200906799998847,29.200906799998847
VRE120_wind_hvy,11,4988,4989,2,330.81055034860515,330.8105503486074,0.0,0.0,785.6015636653783,785.6015636653751
VRE120_wind_hvy,15,4940,4941,2,23.37456006677212,23.374560066771096,0.0,0.0,523.0035756653733,523.0035756653746
VRE120_wind_hvy,15,4984,4989,6,3718.7171427853827,3718.7171427853827,0.0,0.0,3741.140354865377,3741.1403548653743
VRE120_wind_hvy,18,4939,4940,2,506.3568878273286,506.3568878273277,0.0,0.0,647.3221340653754,647.3221340653763
VRE120_wind_hvy,18,5415,5415,1,3107.494993526968,2847.134651100582,2071.322013545129,1810.9616711187427,159.3098683999997,159.3098683999997
