case_name,scenario_id,total_m1c_charge_mwh,m1c_charge_when_vre_surplus_mwh,m1c_charge_when_thermal_headroom_mwh,share_charge_thermal_headroom_proxy,total_m3_charge_mwh,m3_charge_when_vre_surplus_mwh,m3_charge_when_vre_not_surplus_mwh
VRE120_wind_hvy,6,28586.175656262814,2072.3459599636776,26513.829696299137,0.9275053093886081,1.0240605012450767e6,512130.42475058715,511930.0764944902
VRE120_wind_hvy,7,20599.541471963654,2072.3459599636776,18527.19551199998,0.8993984423010496,1.0190231325299995e6,511716.0731069439,507307.05942305573
VRE120_wind_hvy,8,16216.60639863032,2072.3459599636776,14144.260438666643,0.8722084072942221,1.0206932487980484e6,512706.36353435443,507986.8852636947
VRE120_wind_hvy,9,10211.289680852551,2072.3459599636776,8138.943720888876,0.7970534550743787,1.028135264646998e6,512724.9046379233,515410.3600090753
VRE120_wind_hvy,10,11228.913647963658,2072.3459599636776,9156.567687999983,0.8154455519978558,1.029721175457041e6,514106.4767786031,515614.6986784388
VRE120_wind_hvy,11,25714.807048335453,2072.3459599636776,23642.461088371772,0.9194104021053572,1.0338720215176677e6,510797.4088969633,523074.6126207047
VRE120_wind_hvy,12,13500.593485296991,2072.3459599636776,11428.247525333316,0.8464996400180043,1.0330409696634231e6,512318.6892203985,520722.2804430251
VRE120_wind_hvy,13,16570.44743996366,2072.3459599636776,14498.10147999998,0.8749372358548559,1.030208289845263e6,511420.5660514399,518787.7237938236
VRE120_wind_hvy,14,8272.440351074776,2072.3459599636776,6200.094391111097,0.7494879537336967,1.0264264241064589e6,512322.1929696403,514104.2311368195
VRE120_wind_hvy,15,24004.96453092948,2072.3459599636776,21932.6185709658,0.9136701094769983,1.0272507434976411e6,511508.0642214377,515742.6792762044
VRE120_wind_hvy,16,13931.356352852541,2072.3459599636776,11859.010392888864,0.8512459298667391,1.0440454643859073e6,512703.7267616416,531341.737624266
VRE120_wind_hvy,17,8404.721551963672,2072.3459599636776,6332.375591999995,0.7534307416193347,1.0273847092229833e6,511685.104255932,515699.60496705165
VRE120_wind_hvy,18,21029.21377011324,2072.3459599636776,18956.867810149568,0.9014539496046735,1.0187386668398395e6,510027.5497354315,508711.1171044087
VRE120_wind_hvy,19,18376.351685296988,2072.3459599636776,16304.005725333307,0.8872275631499926,1.0240723174850174e6,513395.9651833928,510676.3523016247
VRE120_wind_hvy,20,19561.514386185885,2072.3459599636776,17489.168426222208,0.8940600446851321,1.012307842943308e6,509622.45095790684,502685.39198540134
