case_name,risk_margin_mw,window_buffer_hours,scenario_id,n_risk_hours,n_windows,total_window_h,window_coverage,mean_window_len,max_window_len,n_lp_failures
VRE120_wind_hvy,300.0,48.0,3,112,5,1591,0.18162100456621005,318.2,792,0
VRE120_wind_hvy,300.0,48.0,4,142,4,1858,0.21210045662100457,464.5,1058,0
VRE120_wind_hvy,300.0,48.0,5,137,4,1428,0.16301369863013698,357.0,601,0
VRE120_wind_hvy,500.0,24.0,1,142,7,1244,0.14200913242009133,177.71428571428572,389,0
VRE120_wind_hvy,500.0,24.0,2,204,7,1626,0.18561643835616437,232.28571428571428,818,0
VRE120_wind_hvy,500.0,24.0,3,181,7,1647,0.18801369863013698,235.28571428571428,818,0
VRE120_wind_hvy,500.0,24.0,4,198,7,1628,0.18584474885844748,232.57142857142858,794,0
VRE120_wind_hvy,500.0,24.0,5,177,6,1412,0.16118721461187216,235.33333333333334,435,0
VRE120_wind_hvy,500.0,48.0,1,142,6,1602,0.18287671232876712,267.0,437,0
VRE120_wind_hvy,500.0,48.0,2,204,3,1999,0.22819634703196348,666.3333333333334,1539,0
VRE120_wind_hvy,500.0,48.0,3,181,3,1997,0.22796803652968037,665.6666666666666,1418,0
VRE120_wind_hvy,500.0,48.0,4,198,5,1983,0.22636986301369863,396.6,1081,0
VRE120_wind_hvy,500.0,48.0,5,177,3,1713,0.19554794520547944,571.0,819,0
VRE120_wind_hvy,800.0,24.0,1,241,7,1892,0.21598173515981736,270.2857142857143,963,0
VRE120_wind_hvy,800.0,24.0,2,295,7,1965,0.2243150684931507,280.7142857142857,964,0
VRE120_wind_hvy,800.0,24.0,3,279,4,1954,0.2230593607305936,488.5,1393,0
VRE120_wind_hvy,800.0,24.0,4,312,8,2037,0.23253424657534247,254.625,940,0
VRE120_wind_hvy,800.0,24.0,5,290,4,1838,0.20981735159817352,459.5,1372,0
VRE120_wind_hvy,800.0,48.0,1,241,5,2223,0.25376712328767126,444.6,1538,0
VRE120_wind_hvy,800.0,48.0,2,295,3,2335,0.2665525114155251,778.3333333333334,2066,0
VRE120_wind_hvy,800.0,48.0,3,279,3,2145,0.24486301369863014,715.0,1538,0
VRE120_wind_hvy,800.0,48.0,4,312,5,2481,0.28321917808219177,496.2,1704,0
VRE120_wind_hvy,800.0,48.0,5,290,3,2050,0.23401826484018265,683.3333333333334,1540,0
VRE120_wind_hvy,1000.0,24.0,1,331,7,2112,0.2410958904109589,301.7142857142857,1396,0
VRE120_wind_hvy,1000.0,24.0,2,385,7,2223,0.25376712328767126,317.57142857142856,1394,0
VRE120_wind_hvy,1000.0,24.0,3,332,4,1958,0.22351598173515982,489.5,1395,0
VRE120_wind_hvy,1000.0,24.0,4,384,8,2205,0.2517123287671233,275.625,940,0
VRE120_wind_hvy,1000.0,24.0,5,374,8,2155,0.24600456621004566,269.375,1395,0
VRE120_wind_hvy,1000.0,48.0,1,331,5,2466,0.2815068493150685,493.2,1658,0
VRE120_wind_hvy,1000.0,48.0,2,385,4,2552,0.291324200913242,638.0,2138,0
VRE120_wind_hvy,1000.0,48.0,3,332,3,2148,0.2452054794520548,716.0,1540,0
VRE120_wind_hvy,1000.0,48.0,4,384,4,2602,0.2970319634703196,650.5,2161,0
VRE120_wind_hvy,1000.0,48.0,5,374,4,2577,0.2941780821917808,644.25,2089,0
